Country,srcYear,Region or state or Union Territory (UT),Deposit of SCBs excluding inter bank deposits as at end march,Bank credit of SCBs as at end march,Additional information,YearCode,Year
India,2017,Assam,120976,48754,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Chhattisgarh,118872,74179,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Southern Region,2535615,2134782,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Manipur,7774,3005,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Tripura,20481,7354,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,All India,10730029,7917868,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Maharashtra,2195511,2327351,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Uttar Pradesh,885163,354027,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Meghalaya,20450,5290,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Himachal Pradesh,78523,23339,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Daman & Diu,4289,1006,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Mizoram,7166,2607,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Andaman & Nicobar Islands,4102,1579,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Nagaland,9422,2970,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Dadra & Nagar Haveli,3593,1310,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Puducherry,14606,9336,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Punjab,330956,228314,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Odisha,245281,93366,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Western Region,2869059,2761369,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Northern Region,2278200,1709770,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Rajasthan,313673,212779,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Telangana,407654,395359,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,West Bengal,682175,343079,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Lakshadweep,961,80,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Jammu & Kashmir,93346,37194,,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Chandigarh,59618,60025,,2017,"Calendar Year (Jan - Dec), 2017"
